feature	source_column	concept	role	layer	weight	transform
MD_control	md_control_score_norm	structure_control_readiness	claim_safety	atomic	0.2667639717783259	square
Impact_portfolio	impact_portfolio_score	translation_impact	product_value	atomic	0.22	sigmoid
TCR_expert	tcr_recognition_score_norm	tcr_recognition	pmhc_tcr_likelihood	atomic	0.17985225090669443	sqrt
Foreignness	fitness_foreignness_proxy	mutant_foreignness	self_nonself_gap	atomic	0.17754639573494418	sigmoid
BigMHC_IM	bigmhc_im_score	public_immunogenicity_prior	presentation_immunogenicity	atomic	0.09061025786409703	identity
CROSS_BMA	bma_v2_discovery_score	bayesian_model_average	ensemble_stability	atomic	0.03168408824205987	square
BigMHC_EL	bigmhc_el_score	public_presentation_prior	hla_presentation	atomic	0.0187561827984047	square
CROSS_finetuned	finetuned_experiment_priority_score	experiment_priority	wetlab_priority	atomic	0.006049863269653097	square
CROSS_core	crossneo_core_score_norm	internal_ranker	candidate_ranking	atomic	0.004140965091744603	square
CROSS_stress	stress_guarded_discovery_score	stress_guarded_ranker	robust_candidate_ranking	atomic	0.002867415541831324	square
Fixed_integrated	immunogenicity_discovery_score	fixed_integrated_score	legacy_controller	meta	0.0008643043861223713	sqrt
Fixed_claimsafe	immunogenicity_claim_safe_score	fixed_claim_safe_score	legacy_claim_guard	meta	0.0008643043861223713	sigmoid
