source	target	relation
CROSS-Neo_KG_GA	known_label_hit_yield	optimizes
CROSS-Neo_KG_GA	source_balanced_robustness	optimizes
CROSS-Neo_KG_GA	low_leakage_generalization	optimizes
CROSS-Neo_KG_GA	wetlab_hit_fail_interpretability	optimizes
CROSS-Neo_KG_GA	A_clean_discovery	prioritizes_or_interprets
CROSS-Neo_KG_GA	B_mechanism_TCR_MD	prioritizes_or_interprets
CROSS-Neo_KG_GA	C_label_rescue	prioritizes_or_interprets
CROSS-Neo_KG_GA	D_specificity_moat	prioritizes_or_interprets
CROSS-Neo_KG_GA	E_positive_QC_control	prioritizes_or_interprets
CROSS-Neo_KG_GA	F_model_boundary	prioritizes_or_interprets
public_immunogenicity_prior	BigMHC_IM	materialized_as
BigMHC_IM	CROSS-Neo_KG_GA	candidate_input
BigMHC_IM	immunogenicity_x_foreignness	synergy_left
BigMHC_IM	claimsafe_x_public_im	synergy_right
public_presentation_prior	BigMHC_EL	materialized_as
BigMHC_EL	CROSS-Neo_KG_GA	candidate_input
BigMHC_EL	presentation_x_tcr	synergy_left
BigMHC_EL	stress_x_presentation	synergy_right
internal_ranker	CROSS_core	materialized_as
CROSS_core	CROSS-Neo_KG_GA	candidate_input
CROSS_core	ranker_x_tcr	synergy_left
stress_guarded_ranker	CROSS_stress	materialized_as
CROSS_stress	CROSS-Neo_KG_GA	candidate_input
CROSS_stress	stress_x_presentation	synergy_left
bayesian_model_average	CROSS_BMA	materialized_as
CROSS_BMA	CROSS-Neo_KG_GA	candidate_input
experiment_priority	CROSS_finetuned	materialized_as
CROSS_finetuned	CROSS-Neo_KG_GA	candidate_input
translation_impact	Impact_portfolio	materialized_as
Impact_portfolio	CROSS-Neo_KG_GA	candidate_input
tcr_recognition	TCR_expert	materialized_as
TCR_expert	CROSS-Neo_KG_GA	candidate_input
TCR_expert	presentation_x_tcr	synergy_right
TCR_expert	ranker_x_tcr	synergy_right
mutant_foreignness	Foreignness	materialized_as
Foreignness	CROSS-Neo_KG_GA	candidate_input
Foreignness	immunogenicity_x_foreignness	synergy_right
Foreignness	claim_safety_x_foreignness	synergy_right
structure_control_readiness	MD_control	materialized_as
MD_control	CROSS-Neo_KG_GA	candidate_input
MD_control	claim_safety_x_foreignness	synergy_left
fixed_integrated_score	Fixed_integrated	materialized_as
Fixed_integrated	CROSS-Neo_KG_GA	candidate_input
fixed_claim_safe_score	Fixed_claimsafe	materialized_as
Fixed_claimsafe	CROSS-Neo_KG_GA	candidate_input
Fixed_claimsafe	claimsafe_x_public_im	synergy_left
transform:identity	CROSS-Neo_KG_GA	allowed_gene
transform:sqrt	CROSS-Neo_KG_GA	allowed_gene
transform:square	CROSS-Neo_KG_GA	allowed_gene
transform:sigmoid	CROSS-Neo_KG_GA	allowed_gene
presentation_x_tcr	CROSS-Neo_KG_GA	candidate_input
immunogenicity_x_foreignness	CROSS-Neo_KG_GA	candidate_input
stress_x_presentation	CROSS-Neo_KG_GA	candidate_input
ranker_x_tcr	CROSS-Neo_KG_GA	candidate_input
claim_safety_x_foreignness	CROSS-Neo_KG_GA	candidate_input
claimsafe_x_public_im	CROSS-Neo_KG_GA	candidate_input
high_leakage_penalty	CROSS-Neo_KG_GA	caps_or_penalizes
medium_leakage_penalty	CROSS-Neo_KG_GA	caps_or_penalizes
low_presentation_gate	CROSS-Neo_KG_GA	caps_or_penalizes
claim_blocker_penalty	CROSS-Neo_KG_GA	caps_or_penalizes
single_concept_dominance_cap	CROSS-Neo_KG_GA	caps_or_penalizes
sparse_proxy_guard	CROSS-Neo_KG_GA	caps_or_penalizes
