sample_short	BRAF	EGFR	MET	RAF1	RET
TCGA-4C-A93U-01	-0.005	-0.005	-0.005	-0.003	0.008
TCGA-BJ-A0YZ-01	0.074	0.074	0.074	0.0	-0.011
TCGA-BJ-A0Z0-01	0.0	0.0	0.0	0.0	0.003
TCGA-BJ-A0Z2-01	0.0	0.0	0.0	0.005	0.008
TCGA-BJ-A0Z3-01	0.001	0.001	0.001	0.002	-0.004
TCGA-BJ-A0Z5-01	0.002	0.001	0.002	0.0	-0.001
TCGA-BJ-A0Z9-01	0.004	0.004	0.004	0.0	0.002
TCGA-BJ-A0ZA-01	-0.001	-0.001	-0.001	-0.005	0.003
TCGA-BJ-A0ZB-01	0.002	0.002	0.002	0.0	-0.002
TCGA-BJ-A0ZC-01	0.0	0.0	0.0	0.002	-0.006
TCGA-BJ-A0ZE-01	-0.001	-0.001	-0.001	0.002	0.0
TCGA-BJ-A0ZG-01	-0.002	-0.002	-0.002	-0.001	-0.002
TCGA-BJ-A0ZH-01	0.005	-0.003	0.005	-0.001	0.003
TCGA-BJ-A0ZJ-01	0.0	0.0	0.0	0.002	0.0
TCGA-BJ-A18Y-01	-0.002	-0.002	-0.002	-0.002	0.001
TCGA-BJ-A18Z-01	0.006	0.006	0.006	-0.001	-0.003
TCGA-BJ-A190-01	0.566	0.566	0.566	-0.462	-0.518
TCGA-BJ-A191-01	0.002	0.002	0.002	0.001	-0.002
TCGA-BJ-A192-01	0.763	-0.055	0.763	0.008	0.0
TCGA-BJ-A28R-01	-0.001	-0.001	-0.001	0.0	-0.002
TCGA-BJ-A28S-01	0.001	0.001	0.001	-0.001	0.0
TCGA-BJ-A28T-01	-0.005	-0.005	-0.005	0.001	-0.002
TCGA-BJ-A28V-01	0.0	0.0	0.0	-0.001	0.0
TCGA-BJ-A28W-01	-0.002	-0.002	-0.002	-0.007	0.001
TCGA-BJ-A28X-01	0.002	0.002	0.002	0.0	-0.002
TCGA-BJ-A28Z-01	0.004	0.004	0.004	0.0	-0.004
TCGA-BJ-A290-01	0.002	0.002	0.002	-0.004	0.0
TCGA-BJ-A291-01	0.001	0.001	0.001	0.002	-0.003
TCGA-BJ-A2N7-01	-0.003	-0.003	-0.003	0.0	-0.002
TCGA-BJ-A2N8-01	0.056	0.011	0.056	-0.003	-0.004
TCGA-BJ-A2N9-01	1.61	1.61	1.61	-0.003	-0.009
TCGA-BJ-A2NA-01	0.004	0.004	0.004	-0.008	0.0
TCGA-BJ-A2P4-01	0.0	0.0	0.0	-0.003	0.003
TCGA-BJ-A3EZ-01	0.001	0.001	0.001	-0.001	0.0
TCGA-BJ-A3F0-01	0.0	0.0	0.0	-0.003	-0.002
TCGA-BJ-A3PR-01	0.0	0.0	0.0	0.002	-0.002
TCGA-BJ-A3PT-01	-0.002	-0.002	-0.002	0.0	-0.002
TCGA-BJ-A3PU-01	0.001	0.001	0.001	0.001	0.0
TCGA-BJ-A45C-01	0.0	0.008	0.008	-0.004	-0.004
TCGA-BJ-A45D-01	0.0	0.0	0.0	0.0	0.001
TCGA-BJ-A45E-01	0.489	0.489	0.489	-0.001	0.001
TCGA-BJ-A45F-01	-0.003	-0.003	-0.003	0.002	0.0
TCGA-BJ-A45G-01	0.003	0.0	0.0	0.002	0.0
TCGA-BJ-A45H-01	0.003	0.003	0.003	0.0	0.0
TCGA-BJ-A45I-01	0.0	0.003	0.0	-0.002	0.003
TCGA-BJ-A45J-01	-0.002	-0.002	-0.002	0.0	-0.003
TCGA-BJ-A45K-01	-0.001	-0.001	-0.001	0.001	-0.001
TCGA-BJ-A4O8-01	0.004	0.004	0.004	-0.002	-0.001
TCGA-BJ-A4O9-01	0.002	0.002	0.002	-0.001	0.002
TCGA-CE-A13K-01	0.001	0.001	0.001	0.004	0.0
TCGA-CE-A27D-01	0.004	0.0	0.004	0.002	-0.002
TCGA-CE-A3MD-01	0.0	0.0	0.0	-0.003	0.0
TCGA-CE-A3ME-01	0.0	0.0	0.0	0.0	-0.003
TCGA-CE-A481-01	0.007	0.007	0.007	-0.002	-0.003
TCGA-CE-A482-01	0.003	0.003	0.003	-0.002	-0.003
TCGA-CE-A483-01	0.004	0.004	0.004	-0.001	-0.001
TCGA-CE-A484-01	0.004	0.004	0.004	-0.006	0.005
TCGA-CE-A485-01	0.003	0.003	0.003	-0.002	0.0
TCGA-DE-A0XZ-01	0.002	0.002	0.002	-0.003	-0.02
TCGA-DE-A0Y2-01	-0.004	-0.003	-0.004	0.0	0.005
TCGA-DE-A0Y3-01	-0.001	-0.001	-0.001	-0.001	0.001
TCGA-DE-A2OL-01	-0.001	-0.001	-0.001	0.0	-0.003
TCGA-DE-A3KN-01	0.003	0.002	0.002	0.003	-0.591
TCGA-DE-A4M8-01	-0.002	0.001	-0.002	0.003	0.002
TCGA-DE-A4M9-01	0.008	0.008	0.008	0.0	0.001
TCGA-DE-A4MA-01	-0.001	0.0	0.0	0.0	-0.001
