query,nct_id,title,status,start_date,phase,enrollment,study_type,intervention_types,intervention_names,conditions,lead_sponsor,sponsor_class,primary_outcome,min_age,sex
BRAF V600E thyroid,NCT06440850,Vemurafenib and Cobimetinib for the Treatment of Patients With High Risk Differentiated Thyroid Carcinoma With BRAFV600E Mutation,RECRUITING,2024-07-15,PHASE2,21,INTERVENTIONAL,"BIOLOGICAL,DRUG,PROCEDURE,RADIATION",Biospecimen Collection; Cobimetinib; Computed Tomography; Diagnostic Imaging; I-131 Uptake Test; Iodine I-131; Magnetic Resonance Imaging; Positron Emission Tomography; Recombinant Thyrotropin Alfa; Ultrasound Imaging; Vemurafenib,"Thyroid Gland Follicular Carcinoma,Thyroid Gland Oncocytic Carcinoma,Thyroid Gland Papillary Carcinoma",City of Hope Medical Center,OTHER,Patients who achieve excellent or indeterminate response with vemurafenib and cobimetinib treatment prior to radioactive iodine therapy,18 Years,ALL
BRAF V600E thyroid,NCT03181100,Atezolizumab With Chemotherapy in Treating Patients With Anaplastic or Poorly Differentiated Thyroid Cancer,ACTIVE_NOT_RECRUITING,2017-07-27,PHASE2,50,INTERVENTIONAL,"BIOLOGICAL,DRUG",Atezolizumab; Bevacizumab; Cobimetinib; Nab-paclitaxel; Paclitaxel; Vemurafenib,"Metastatic Thyroid Gland Carcinoma,Poorly Differentiated Thyroid Gland Carcinoma,Stage IVA Thyroid Gland Anaplastic Carcinoma AJCC v8,Stage IVB Thyroid Gland Anaplastic Carcinoma AJCC v8,Stage IVC Thyroid Gland Anaplastic Carcinoma AJCC v8,Thyroid Gland Anaplastic Carcinoma,Unresectable Thyroid Gland Carcinoma",M.D. Anderson Cancer Center,OTHER,Overall survival (OS) with targeted therapy + atezolizumab in cohorts 1 and 3 with anaplastic thyroid carcinoma (ATC),18 Years,ALL
BRAF V600E thyroid,NCT02465060,"Targeted Therapy Directed by Genetic Testing in Treating Patients With Advanced Refractory Solid Tumors, Lymphomas, or Multiple Myeloma (The MATCH Screening Trial)",ACTIVE_NOT_RECRUITING,2015-08-17,PHASE2,6452,INTERVENTIONAL,"BIOLOGICAL,DRUG,OTHER,PROCEDURE",Adavosertib; Afatinib; Afatinib Dimaleate; Binimetinib; Biopsy Procedure; Biospecimen Collection; Capivasertib; Computed Tomography; Copanlisib; Copanlisib Hydrochloride; Crizotinib; Cytology Specimen Collection Procedure; Dabrafenib; Dabrafenib Mesylate; Dasatinib; Defactinib; Defactinib Hydrochloride; Echocardiography Test; Erdafitinib; Fexagratinib; Ipatasertib; Laboratory Biomarker Analysis; Larotrectinib; Larotrectinib Sulfate; Magnetic Resonance Imaging; Multigated Acquisition Scan; Nivolumab; Osimertinib; Palbociclib; Pertuzumab; PI3K-beta Inhibitor GSK2636771; Radiologic Examination; Radionuclide Imaging; Relatlimab; Sapanisertib; Sunitinib Malate; Taselisib; Trametinib; Trastuzumab; Trastuzumab Emtansine; Ulixertinib; Vismodegib,"Advanced Lymphoma,Advanced Malignant Solid Neoplasm,Bladder Carcinoma,Breast Carcinoma,Cervical Carcinoma,Colon Carcinoma,Colorectal Carcinoma,Endometrial Carcinoma,Esophageal Carcinoma,Exocrine Pancreas Carcinoma,Gastric Carcinoma,Glioma,Head and Neck Carcinoma,Hematopoietic and Lymphoid Cell Neoplasm,Kidney Carcinoma,Liver Carcinoma,Lung Carcinoma,Lymphoma,Malignant Uterine Corpus Neoplasm,Malignant Uterine Neoplasm,Melanoma,Multiple Myeloma,Ovarian Carcinoma,Prostate Carcinoma,Rectal Carcinoma,Recurrent Bladder Carcinoma,Recurrent Breast Carcinoma,Recurrent Cervical Carcinoma,Recurrent Colon Carcinoma,Recurrent Colorectal Carcinoma,Recurrent Esophageal Carcinoma,Recurrent Gastric Carcinoma,Recurrent Glioma,Recurrent Head and Neck Carcinoma,Recurrent Liver Carcinoma,Recurrent Lung Carcinoma,Recurrent Lymphoma,Recurrent Malignant Solid Neoplasm,Recurrent Malignant Uterine Corpus Neoplasm,Recurrent Melanoma,Recurrent Multiple Myeloma,Recurrent Ovarian Carcinoma,Recurrent Pancreatic Carcinoma,Recurrent Prostate Carcinoma,Recurrent Rectal Carcinoma,Recurrent Skin Carcinoma,Recurrent Thyroid Gland Carcinoma,Refractory Lymphoma,Refractory Malignant Solid Neoplasm,Refractory Multiple Myeloma,Skin Carcinoma,Thyroid Gland Carcinoma",National Cancer Institute (NCI),NIH,Objective response rate (ORR),18 Years,ALL
BRAF V600E thyroid,NCT04238624,Study of Cemiplimab Combined With Dabrafenib and Trametinib in People With Anaplastic Thyroid Cancer,ACTIVE_NOT_RECRUITING,2020-01-20,PHASE2,16,INTERVENTIONAL,DRUG,Dabrafenib; Trametinib,"Anaplastic Thyroid Cancer,Thyroid Cancer,BRAF Gene Mutation,BRAF Mutation-Related Tumors",Memorial Sloan Kettering Cancer Center,OTHER,Overall Response Rate per RECIST 1.1 Criteria,18 Years,ALL
BRAF V600E thyroid,NCT04439292,Testing Trametinib and Dabrafenib as a Potential Targeted Treatment in Cancers With BRAF Genetic Changes (MATCH-Subprotocol H),ACTIVE_NOT_RECRUITING,2015-08-12,PHASE2,35,INTERVENTIONAL,DRUG,Dabrafenib Mesylate; Trametinib Dimethyl Sulfoxide,"Advanced Lymphoma,Advanced Malignant Solid Neoplasm,Hematopoietic and Lymphoid Cell Neoplasm,Refractory Lymphoma,Refractory Malignant Solid Neoplasm,Refractory Multiple Myeloma",National Cancer Institute (NCI),NIH,Objective response rate (ORR),18 Years,ALL
BRAF V600E thyroid,NCT06475989,Study of Targeted Therapy vs. Chemotherapy in Patients With Thyroid Cancer,RECRUITING,2024-08-22,PHASE3,264,INTERVENTIONAL,"DRUG,OTHER,PROCEDURE",Biospecimen Collection; Cabozantinib; Computed Tomography; Dabrafenib; Magnetic Resonance Imaging; Questionnaire Administration; Trametinib,Refractory Differentiated Thyroid Gland Carcinoma,ECOG-ACRIN Cancer Research Group,NETWORK,Progression free survival (PFS),18 Years,ALL
BRAF V600E thyroid,NCT04061980,Encorafenib and Binimetinib With or Without Nivolumab in Treating Patients With Metastatic Radioiodine Refractory BRAF V600 Mutant Thyroid Cancer,ACTIVE_NOT_RECRUITING,2020-10-30,PHASE2,24,INTERVENTIONAL,"BIOLOGICAL,DRUG",Binimetinib; Encorafenib; Nivolumab,"BRAF NP_004324.2:p.V600M,BRAF V600E Mutation Present,Metastatic Thyroid Gland Carcinoma,Refractory Thyroid Gland Carcinoma,Stage IV Differentiated Thyroid Gland Carcinoma AJCC v8,Stage IVA Differentiated Thyroid Gland Carcinoma AJCC v8,Stage IVB Differentiated Thyroid Gland Carcinoma AJCC v8",Providence Health & Services,OTHER,Overall response rate (ORR),18 Years,ALL
BRAF V600E thyroid,NCT04675710,"Pembrolizumab, Dabrafenib, and Trametinib Before Surgery for the Treatment of BRAF-Mutated Anaplastic Thyroid Cancer",ACTIVE_NOT_RECRUITING,2021-06-24,PHASE2,30,INTERVENTIONAL,"BIOLOGICAL,DRUG,OTHER,PROCEDURE,RADIATION",Conventional Surgery; Dabrafenib; Intensity-Modulated Radiation Therapy; Pembrolizumab; Quality-of-Life Assessment; Trametinib,"Thyroid Gland Anaplastic Carcinoma,Thyroid Gland Squamous Cell Carcinoma",M.D. Anderson Cancer Center,OTHER,Complete gross surgical resection (R0 or R1 resection); Overall survival (OS),18 Years,ALL
BRAF V600E thyroid,NCT07419932,Response to Neoadjuvant Treatment in Locally Advanced Thyroid Cancer,RECRUITING,2025-12-23,,120,OBSERVATIONAL,"DRUG,PROCEDURE",Multitarget Tyrosine Kinase Inhibitors; BRAF inhibitor dabrafenib and MEK inhibitor trametinib; RET Inhibitor; PD(L)-1 inhibitor; Biopsy; Surgery; Surgery,"Thyroid Cancer,Thyroid Neoplasms",Fujian Medical University,OTHER,Radiographic Response; Pathologic Response; Progression-Free Survival (PFS),14 Years,ALL
BRAF V600E thyroid,NCT06902376,XL092 and Cemiplimab in BRAF WT Thyroid Cancer,RECRUITING,2025-06-03,PHASE1,12,INTERVENTIONAL,"BIOLOGICAL,DRUG",Cemiplimab; XL092,"Anaplastic Thyroid Cancer,Thyroid Cancer,BRAF Mutation-Related Tumors",UNC Lineberger Comprehensive Cancer Center,OTHER,Complete gross resection; Non-hematologic treatment related adverse events (TRAEs),18 Years,ALL
BRAF V600E thyroid,NCT04940052,"Study of Efficacy and Safety of Dabrafenib in Combination With Trametinib in Previously Treated Patients With Metastatic, Radio-active Iodine Refractory BRAF V600E Mutation Positive Differentiated Thyroid Cancer",ACTIVE_NOT_RECRUITING,2021-11-15,PHASE3,153,INTERVENTIONAL,DRUG,Dabrafenib; Trametinib; Trametinib Placebo; Dabrafenib placebo,Differentiated Thyroid Cancer (DTC),Novartis Pharmaceuticals,INDUSTRY,Progression Free Survival (PFS),18 Years,ALL
anaplastic thyroid carcinoma,NCT06195228,A Retrospective and Prospective Real-world Study of Molecular Typing in the Treatment of Advanced Thyroid Cancer,RECRUITING,2020-01-01,PHASE4,800,INTERVENTIONAL,DRUG,dabrafenib plus trametinib with or without PD-1 antibody; entrectinib or larotrectinib with or without anti-PD-1 antibdoy; pralsetinib or selpercatinib with or without anti-PD-1 antibdoy; anlotinib or anlotinib plus anti-PD-1 antibody; lenvatinib plus anti-PD-1 antibody; Other Targets: precise treatment based on the target,Advanced Thyroid Cancer Patients Who Received Target Therapy,Fudan University,OTHER,Objective Response Rate(ORR),,ALL
anaplastic thyroid carcinoma,NCT05119296,Phase II Trial of Pembrolizumab in Metastatic or Locally Advanced Anaplastic/Undifferentiated Thyroid Cancer,ACTIVE_NOT_RECRUITING,2022-02-15,PHASE2,12,INTERVENTIONAL,DRUG,Pembrolizumab (Keytruda),Thyroid Cancer,Stanford University,OTHER,Overall response rate (OR),18 Years,ALL
anaplastic thyroid carcinoma,NCT02834013,Nivolumab and Ipilimumab in Treating Patients With Rare Tumors,ACTIVE_NOT_RECRUITING,2017-01-30,PHASE2,818,INTERVENTIONAL,"BIOLOGICAL,PROCEDURE",Biospecimen Collection; Computed Tomography; Echocardiography Test; Ipilimumab; Magnetic Resonance Imaging; Nivolumab,"Acinar Cell Carcinoma,Adenoid Cystic Carcinoma,Adrenal Cortical Carcinoma,Adrenal Gland Pheochromocytoma,Anal Canal Neuroendocrine Carcinoma,Anal Canal Undifferentiated Carcinoma,Angiosarcoma,Apocrine Neoplasm,Appendix Mucinous Adenocarcinoma,Bartholin Gland Transitional Cell Carcinoma,Basal Cell Carcinoma,Bladder Adenocarcinoma,Breast Metaplastic Carcinoma,Cervical Adenocarcinoma,Cholangiocarcinoma,Chordoma,Colorectal Squamous Cell Carcinoma,Desmoid Fibromatosis,Endometrial Transitional Cell Carcinoma,Endometrioid Adenocarcinoma,Esophageal Neuroendocrine Carcinoma,Esophageal Undifferentiated Carcinoma,Extrahepatic Bile Duct Carcinoma,Extramammary Paget Disease,Fallopian Tube Adenocarcinoma,Fallopian Tube Transitional Cell Carcinoma,Fibromyxoid Tumor,Gallbladder Carcinoma,Gastric Neuroendocrine Carcinoma,Gastric Squamous Cell Carcinoma,Gastric Undifferentiated Carcinoma,Gastrointestinal Stromal Tumor,Gestational Trophoblastic Tumor,Giant Cell Carcinoma,Human Papillomavirus-Independent Cervical Adenocarcinoma, Clear Cell-Type,Intestinal Neuroendocrine Carcinoma,Intrahepatic Cholangiocarcinoma,Lung Neuroendocrine Tumor,Lung Sarcomatoid Carcinoma,Major Salivary Gland Carcinoma,Malignant Neoplasm of Unknown Primary,Malignant Odontogenic Neoplasm,Malignant Peripheral Nerve Sheath Tumor,Malignant Solid Neoplasm,Malignant Testicular Sex Cord-Stromal Tumor,Metastatic Pituitary Neuroendocrine Tumor,Minimally Invasive Lung Adenocarcinoma,Mixed Mesodermal (Mullerian) Tumor,Mucinous Adenocarcinoma,Mucinous Cystadenocarcinoma,Nasal Cavity Adenocarcinoma,Nasal Cavity Carcinoma,Nasopharyngeal Carcinoma,Nasopharyngeal Low Grade Papillary Adenocarcinoma,Nasopharyngeal Undifferentiated Carcinoma,Oral Cavity Carcinoma,Oropharyngeal Undifferentiated Carcinoma,Ovarian Adenocarcinoma,Ovarian Germ Cell Tumor,Ovarian Mucinous Adenocarcinoma,Ovarian Squamous Cell Carcinoma,Ovarian Transitional Cell Carcinoma,Pancreatic Acinar Cell Carcinoma,Pancreatic Neuroendocrine Carcinoma,Paraganglioma,Paranasal Sinus Adenocarcinoma,Paranasal Sinus Carcinoma,Parathyroid Gland Carcinoma,PEComa,Penile Squamous Cell Carcinoma,Peritoneal Mesothelial Neoplasm,Placental Choriocarcinoma,Primary Peritoneal High Grade Serous Adenocarcinoma,Pseudomyxoma Peritonei,Rare Disorder,Scrotal Squamous Cell Carcinoma,Seminal Vesicle Adenocarcinoma,Seminoma,Serous Cystadenocarcinoma,Small Intestinal Adenocarcinoma,Small Intestinal Squamous Cell Carcinoma,Spindle Cell Neoplasm,Teratoma With Somatic-Type Malignancy,Testicular Non-Seminomatous Germ Cell Tumor,Thyroid Gland Carcinoma,Tracheal Carcinoma,Transitional Cell Carcinoma,Ureter Adenocarcinoma,Ureter Squamous Cell Carcinoma,Urethral Adenocarcinoma,Urethral Squamous Cell Carcinoma,Vaginal Adenocarcinoma,Vaginal Squamous Cell Carcinoma, Not Otherwise Specified,Vulvar Carcinoma",National Cancer Institute (NCI),NIH,Overall response rate (ORR),18 Years,ALL
anaplastic thyroid carcinoma,NCT03085056,Trametinib in Combination With Paclitaxel in the Treatment of Anaplastic Thyroid Cancer,ACTIVE_NOT_RECRUITING,2017-03-15,EARLY_PHASE1,13,INTERVENTIONAL,DRUG,Trametinib; Paclitaxel,Anaplastic Thyroid Cancer,Memorial Sloan Kettering Cancer Center,OTHER,Progression-Free Survival (PFS),18 Years,ALL
anaplastic thyroid carcinoma,NCT03975231,"Dabrafenib, Trametinib, and IMRT in Treating Patients With BRAF Mutated Anaplastic Thyroid Cancer",RECRUITING,2020-09-14,PHASE1,6,INTERVENTIONAL,"DRUG,RADIATION",Dabrafenib; Intensity-Modulated Radiation Therapy; Trametinib,"BRAF NP_004324.2:p.V600E,BRAF V600K Mutation Present,Thyroid Gland Anaplastic Carcinoma",City of Hope Medical Center,OTHER,Maximum tolerated dose of combination therapy of dabrafenib and trametinib administered concurrently with intensity-modulated radiation therapy (IMRT),18 Years,ALL
anaplastic thyroid carcinoma,NCT03449108,"LN-145 or LN-145-S1 in Treating Patients With Relapsed or Refractory Ovarian Cancer, Triple Negative Breast Cancer (TNBC), Anaplastic Thyroid Cancer, Osteosarcoma, or Other Bone and Soft Tissue Sarcomas",ACTIVE_NOT_RECRUITING,2018-04-27,PHASE2,30,INTERVENTIONAL,"BIOLOGICAL,DRUG,OTHER",Aldesleukin; Autologous Tumor Infiltrating Lymphocytes LN-145; Autologous Tumor Infiltrating Lymphocytes LN-145-S1; Cyclophosphamide; Fludarabine; Ipilimumab; Nivolumab; Quality-of-Life Assessment; Questionnaire Administration,"Bone Sarcoma,Dedifferentiated Chondrosarcoma,Giant Cell Tumor of Bone,Malignancy in Giant Cell Tumor of Bone,Malignant Solid Neoplasm,Ovarian Carcinosarcoma,Platinum-Resistant Ovarian Carcinoma,Poorly Differentiated Thyroid Gland Carcinoma,Recurrent Osteosarcoma,Recurrent Ovarian Carcinoma,Refractory Osteosarcoma,Soft Tissue Sarcoma,Thyroid Gland Anaplastic Carcinoma,Thyroid Gland Squamous Cell Carcinoma,Undifferentiated High Grade Pleomorphic Sarcoma of Bone,Triple Negative Breast Cancer",M.D. Anderson Cancer Center,OTHER,Objective response rate,16 Years,ALL
anaplastic thyroid carcinoma,NCT03181100,Atezolizumab With Chemotherapy in Treating Patients With Anaplastic or Poorly Differentiated Thyroid Cancer,ACTIVE_NOT_RECRUITING,2017-07-27,PHASE2,50,INTERVENTIONAL,"BIOLOGICAL,DRUG",Atezolizumab; Bevacizumab; Cobimetinib; Nab-paclitaxel; Paclitaxel; Vemurafenib,"Metastatic Thyroid Gland Carcinoma,Poorly Differentiated Thyroid Gland Carcinoma,Stage IVA Thyroid Gland Anaplastic Carcinoma AJCC v8,Stage IVB Thyroid Gland Anaplastic Carcinoma AJCC v8,Stage IVC Thyroid Gland Anaplastic Carcinoma AJCC v8,Thyroid Gland Anaplastic Carcinoma,Unresectable Thyroid Gland Carcinoma",M.D. Anderson Cancer Center,OTHER,Overall survival (OS) with targeted therapy + atezolizumab in cohorts 1 and 3 with anaplastic thyroid carcinoma (ATC),18 Years,ALL
anaplastic thyroid carcinoma,NCT05696548,Nivolumab Plus Lenvatinib Against Anaplastic Thyroid Cancer (NAVIGATION),ACTIVE_NOT_RECRUITING,2019-07-02,PHASE2,51,INTERVENTIONAL,DRUG,Lenvatinib; Nivolumab,Anaplastic Thyroid Cancer,National Cancer Center Hospital East,OTHER,Step 1: Proportion of subjects with Dose-Limiting Toxicities (DLT); Step 2: Objective Response Rate (ORR),20 Years,ALL
anaplastic thyroid carcinoma,NCT06374602,Efficacy of Pembrolizumab and Lenvatinib in Patients With Anaplastic Thyroid Cancer,RECRUITING,2024-03-25,PHASE2,20,INTERVENTIONAL,DRUG,Pembrolizumab + Lenvatinib,Anaplastic Thyroid Cancer,"Saint Petersburg State University, Russia",OTHER,Objective response rate; Progression-Free Survival; Safety and Tolerability assessment (Incidence of Treatment-Emergent Adverse Events),18 Years,ALL
anaplastic thyroid carcinoma,NCT05668962,Restor. I-131 Upt. + Selpercatinib in RET F-P RAI-R TC,RECRUITING,2023-03-01,PHASE2,30,INTERVENTIONAL,DRUG,Selpercatinib; Sodium Iodine I-131; rhTSH,"Thyroid Cancer,Thyroid Carcinoma,Metastatic Thyroid Cancer,Follicular Thyroid Cancer,Unresectable Thyroid Gland Carcinoma,Papillary Thyroid Cancer",Massachusetts General Hospital,OTHER,Objective Response Rate,12 Years,ALL
anaplastic thyroid carcinoma,NCT04759911,Selpercatinib Before Surgery for the Treatment of RET-Altered Thyroid Cancer,ACTIVE_NOT_RECRUITING,2021-02-26,PHASE2,30,INTERVENTIONAL,"DRUG,OTHER,PROCEDURE",Quality-of-Life Assessment; Questionnaire Administration; Selpercatinib; Therapeutic Conventional Surgery,"Malignant Thyroid Gland Neoplasm,Poorly Differentiated Thyroid Gland Carcinoma,Recurrent Thyroid Gland Carcinoma,Thyroid Gland Anaplastic Carcinoma,Thyroid Gland Medullary Carcinoma,Thyroid Gland Papillary Carcinoma,Thyroid Gland Squamous Cell Carcinoma",M.D. Anderson Cancer Center,OTHER,Objective response rate (ORR); Tumor response,12 Years,ALL
