source	compound_name	compound_id	target_annotation	dose_time	matched_cell_line_count	thyroid_model_count	usable_for_paper9	direction_interpretable	caveat	matched_search_term
CTRP_AUC	BORTEZOMIB CTRP:411737	DPC-001195	MYC/proliferation artifact control	not in processed association table	737	10	yes_for_sensitivity_context	yes; already direction-normalized to sensitivity in Sprint 2 summary	weak/discordant if p not supportive; thyroid subset is underpowered	MYC_glutamine_addiction_module
CTRP_AUC	BRD4132 CTRP:3588	DPC-001290	MYC/proliferation artifact control	not in processed association table	709	10	yes_for_sensitivity_context	yes; already direction-normalized to sensitivity in Sprint 2 summary	weak/discordant if p not supportive; thyroid subset is underpowered	MYC_glutamine_addiction_module
CTRP_AUC	ISOX:BORTEZOMIB (250:1 MOL/MOL) CTRP:660173	DPC-003508	MYC/proliferation artifact control	not in processed association table	705	9	yes_for_sensitivity_context	yes; already direction-normalized to sensitivity in Sprint 2 summary	weak/discordant if p not supportive; thyroid subset is underpowered	MYC_glutamine_addiction_module
CTRP_AUC	SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL) CTRP:660134	DPC-005968	MYC/proliferation artifact control	not in processed association table	753	9	yes_for_sensitivity_context	yes; already direction-normalized to sensitivity in Sprint 2 summary	weak/discordant if p not supportive; thyroid subset is underpowered	MYC_glutamine_addiction_module
CTRP_AUC	SNX-2112:BORTEZOMIB (250:1 MOL/MOL) CTRP:660251	DPC-006011	MYC/proliferation artifact control	not in processed association table	742	10	yes_for_sensitivity_context	yes; already direction-normalized to sensitivity in Sprint 2 summary	weak/discordant if p not supportive; thyroid subset is underpowered	MYC_glutamine_addiction_module
CTRP_AUC	TANESPIMYCIN:BORTEZOMIB (250:1 MOL/MOL) CTRP:660221	DPC-006265	MYC/proliferation artifact control	not in processed association table	701	10	yes_for_sensitivity_context	yes; already direction-normalized to sensitivity in Sprint 2 summary	weak/discordant if p not supportive; thyroid subset is underpowered	MYC_glutamine_addiction_module
CTRP_AUC	OLIGOMYCIN A CTRP:411869	DPC-004751	OXPHOS comparator	not in processed association table	746	9	yes_for_sensitivity_context	yes; already direction-normalized to sensitivity in Sprint 2 summary	weak/discordant if p not supportive; thyroid subset is underpowered	OXPHOS_comparator
CTRP_conditions	OLIGOMYCIN A	DPC-004751	OXPHOS comparator	0.001-33.0 uM	1	not available from treatment metadata alone	metadata_only; effect direction requires matrix convention audit	no; metadata match only	raw metadata hit only; do not infer sensitivity without response matrix and convention check	oligomycin
GDSC1_AUC	BPTES GDSC1:1425	DPC-007404	GLS/glutaminase	not in processed association table	664	11	yes_for_sensitivity_context	yes; already direction-normalized to sensitivity in Sprint 2 summary	weak/discordant if p not supportive; thyroid subset is underpowered	GLS
GDSC1_AUC	BPTES GDSC1:1425	DPC-007404	GLS/glutaminase	not in processed association table	664	11	yes_for_sensitivity_context	yes; already direction-normalized to sensitivity in Sprint 2 summary	weak/discordant if p not supportive; thyroid subset is underpowered	MYC_glutamine_addiction_module
GDSC1_AUC	BORTEZOMIB GDSC1:104	DPC-001195	MYC/proliferation artifact control	not in processed association table	247	0	yes_for_sensitivity_context	yes; already direction-normalized to sensitivity in Sprint 2 summary	weak/discordant if p not supportive; thyroid subset is underpowered	MYC_glutamine_addiction_module
GDSC1_conditions	BPTES	DPC-007404	GLS/glutaminase	0.0390625-10.0 uM	1	not available from treatment metadata alone	metadata_only; effect direction requires matrix convention audit	no; metadata match only	raw metadata hit only; do not infer sensitivity without response matrix and convention check	BPTES
GDSC2_AUC	BORTEZOMIB GDSC2:1191	DPC-001195	MYC/proliferation artifact control	not in processed association table	692	12	yes_for_sensitivity_context	yes; already direction-normalized to sensitivity in Sprint 2 summary	weak/discordant if p not supportive; thyroid subset is underpowered	MYC_glutamine_addiction_module
GDSC2_AUC	DIHYDROROTENONE GDSC2:1827	DPC-002245	OXPHOS comparator	not in processed association table	542	11	yes_for_sensitivity_context	yes; already direction-normalized to sensitivity in Sprint 2 summary	weak/discordant if p not supportive; thyroid subset is underpowered	OXPHOS_comparator
GDSC2_conditions	DIHYDROROTENONE	DPC-002245	OXPHOS comparator	0.0010005269850663-1.0 uM	1	not available from treatment metadata alone	metadata_only; effect direction requires matrix convention audit	no; metadata match only	raw metadata hit only; do not infer sensitivity without response matrix and convention check	rotenone
PRISM24Q2_LFC_COLLAPSED	No metadata match by Sprint 2 regex	none_found	GLS/glutaminase	not in processed association table	0	0	no_metadata_match	no	weak/discordant if p not supportive; thyroid subset is underpowered	GLS
PRISM24Q2_LFC_COLLAPSED	No metadata match by Sprint 2 regex	none_found	GLUD1/glutamate dehydrogenase	not in processed association table	0	0	no_metadata_match	no	weak/discordant if p not supportive; thyroid subset is underpowered	GLUD1
PRISM24Q2_LFC_COLLAPSED	No metadata match by Sprint 2 regex	none_found	OXPHOS comparator	not in processed association table	0	0	no_metadata_match	no	weak/discordant if p not supportive; thyroid subset is underpowered	OXPHOS_comparator
PRISM24Q2_LFC_COLLAPSED	No metadata match by Sprint 2 regex	none_found	SLC1A5/ASCT2 glutamine transport	not in processed association table	0	0	no_metadata_match	no	weak/discordant if p not supportive; thyroid subset is underpowered	SLC1A5
PRISM24Q2_LFC_COLLAPSED	No metadata match by Sprint 2 regex	none_found	other searched perturbagen	not in processed association table	0	0	no_metadata_match	no	weak/discordant if p not supportive; thyroid subset is underpowered	GLUD2
PRISM24Q2_LFC_COLLAPSED	No metadata match by Sprint 2 regex	none_found	other searched perturbagen	not in processed association table	0	0	no_metadata_match	no	weak/discordant if p not supportive; thyroid subset is underpowered	ASNS
PRISM24Q2_LFC_COLLAPSED	No metadata match by Sprint 2 regex	none_found	other searched perturbagen	not in processed association table	0	0	no_metadata_match	no	weak/discordant if p not supportive; thyroid subset is underpowered	GOT1
PRISM24Q2_LFC_COLLAPSED	No metadata match by Sprint 2 regex	none_found	other searched perturbagen	not in processed association table	0	0	no_metadata_match	no	weak/discordant if p not supportive; thyroid subset is underpowered	GOT2
PRISM24Q2_LFC_COLLAPSED	No metadata match by Sprint 2 regex	none_found	other searched perturbagen	not in processed association table	0	0	no_metadata_match	no	weak/discordant if p not supportive; thyroid subset is underpowered	GPT2
