candidate	source_candidate_id	target_class	dependency_association	expression_association	pan_cancer_corrected_association	thyroid_only_coverage	drug_response_evidence	artifact_risk	claim_status	claim_boundary	evidence_tier	verdict	perturbation_feasibility	strict_thyroid_dependency_n	strict_thyroid_expression_n
SLC1A5	SLC1A5	glutamine_transport	supportive; r=0.102, p=0.000533, n=1140	weak_or_none; r=-0.0659, p=0.00624, n=1719	supportive; r=0.078, p=0.00838	strict dependency n=11; strict expression n=22; underpowered	not_testable; matches=0; no matched processed drug metadata	moderate_tissue_context_risk	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	MEDIUM	PRIORITIZE_FOR_WETLAB	High: genetic KD/KO/CRISPRi, glutamine withdrawal, rescue; pharmacology is metadata-limited.	11	22
GLUD1	GLUD1	glutamate_dehydrogenase	supportive; r=0.0754, p=0.0109, n=1140	weak_or_none; r=0.0477, p=0.0481, n=1719	supportive; r=0.0619, p=0.0365	strict dependency n=11; strict expression n=22; underpowered	not_testable; matches=0; no matched processed drug metadata	low_to_moderate	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	MEDIUM	PRIORITIZE_FOR_WETLAB	High: genetic KD/KO plus metabolic rescue; pharmacology is metadata-limited.	11	22
GLS	GLS	glutaminase	supportive; r=0.0881, p=0.0029, n=1140	supportive; r=0.127, p=1.26e-07, n=1719	supportive; r=0.0808, p=0.00635	strict dependency n=11; strict expression n=22; underpowered	weak_or_discordant; matches=1; GDSC1_AUC BPTES GDSC1:1425 DPC-007404 r=-0.0153, p=0.694	moderate_tissue_context_risk	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	MEDIUM_MINUS	KEEP_AS_CANDIDATE	Moderate-high: genetic KD/KO and BPTES/CB-839-style inhibitor plan; local drug concordance weak.	11	22
SLC7A5	SLC7A5	amino_acid_transport	weak_or_negative; r=0.0506, p=0.0879, n=1140	weak_or_none; r=-0.0898, p=0.000193, n=1719	supportive; r=0.101, p=0.000658	strict dependency n=11; strict expression n=22; underpowered	not_testable; matches=0; no matched processed drug metadata	moderate_tissue_context_risk	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	LOW	WATCHLIST	Watchlist: genetic perturbation feasible, lower priority unless wet-lab capacity allows.	11	22
GLUD2	GLUD2	glutamate_dehydrogenase	weak_or_negative; r=-0.0203, p=0.493, n=1140	weak_or_none; r=0.0586, p=0.0151, n=1719	weak_or_none; r=-0.0351, p=0.236	strict dependency n=11; strict expression n=22; underpowered	not_testable; matches=0; no matched processed drug metadata	low_to_moderate	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	LOW	WATCHLIST	Watchlist: genetic perturbation feasible, lower priority unless wet-lab capacity allows.	11	22
GOT1	GOT1	transaminase	weak_or_negative; r=0.0213, p=0.472, n=1140	weak_or_none; r=0.0197, p=0.414, n=1719	weak_or_none; r=-0.0153, p=0.605	strict dependency n=11; strict expression n=22; underpowered	not_testable; matches=0; no matched processed drug metadata	low_to_moderate	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	LOW	WATCHLIST	Watchlist: genetic perturbation feasible, lower priority unless wet-lab capacity allows.	11	22
GOT2	GOT2	transaminase	weak_or_negative; r=0.0477, p=0.107, n=1140	weak_or_none; r=0.0014, p=0.954, n=1719	supportive; r=0.0581, p=0.0497	strict dependency n=11; strict expression n=22; underpowered	not_testable; matches=0; no matched processed drug metadata	low_to_moderate	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	LOW	WATCHLIST	Watchlist: genetic perturbation feasible, lower priority unless wet-lab capacity allows.	11	22
GPT2	GPT2	transaminase	weak_or_negative; r=-0.0477, p=0.108, n=1140	supportive; r=-0.118, p=9.09e-07, n=1719	weak_or_none; r=-0.043, p=0.147	strict dependency n=11; strict expression n=22; underpowered	not_testable; matches=0; no matched processed drug metadata	low_to_moderate	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	LOW	WATCHLIST	Watchlist: genetic perturbation feasible, lower priority unless wet-lab capacity allows.	11	22
ASNS	ASNS	amino_acid_synthesis	weak_or_negative; r=0.0381, p=0.199, n=1140	weak_or_none; r=-0.0716, p=0.00296, n=1719	weak_or_none; r=0.0391, p=0.187	strict dependency n=11; strict expression n=22; underpowered	not_testable; matches=0; no matched processed drug metadata	low_to_moderate	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	LOW	WATCHLIST	Watchlist: genetic perturbation feasible, lower priority unless wet-lab capacity allows.	11	22
MYC glutamine-addiction module	MYC_glutamine_addiction_module	myc_glutamine_addiction	supportive; r=0.136, p=4.04e-06, n=1140	weak_or_none; r=0.0278, p=0.25, n=1719	supportive; r=0.176, p=2.26e-09	strict dependency n=11; strict expression n=22; underpowered	weak_or_discordant; matches=9; CTRP_AUC SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL) CTRP:660134 DPC-005968 r=-0.165, p=5.33e-06	moderate_high_proliferation_or_common_essential_risk	weak_artifact_guard_required	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	HYPOTHESIS_SUPPORT_ARTIFACT_GUARDED	KEEP_AS_AXIS_OR_SECONDARY	Control/secondary only: use as proliferation/artifact guard, not primary target.	11	22
