clean_rank	compound	perturbation_class	proposed_use	evidence_level	thyroid_specific_support	mechanism_rationale	major_caveat	required_validation_assay	proposal_wording_allowed	proposal_wording_forbidden	source	target	drug_id	drug_label	rank_score	n_thyroid_models	spearman_lineage_sensitivity_thyroid	p_lineage_sensitivity_thyroid
1	AZD7762	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	A	thyroid lines n=11, rho=-0.73, p=0.0112; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC1_AUC	CHEK2	DPC-000855	AZD7762 DPC-000855	1.8152498629123948	11.0	-0.7272727272727273	0.011204967253592
2	JAK3_7406	HLA/APM restoration / immune visibility modulation	Use as JAK/IFN pathway-control hypothesis; do not frame as HLA/APM restoration unless rescue is observed.	A	thyroid lines n=11, rho=-0.72, p=0.0128; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibition can oppose IFN-driven HLA/APM induction; treat as pathway-control hypothesis, not restoration therapy.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	GDSC1_AUC	JAK1,JAK2,OSMR	DPC-007447	JAK3_7406 DPC-007447	1.7923747076320318	11.0	-0.7181818181818183	0.0127995980688584
3	ALISERTIB	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	A	thyroid lines n=12, rho=-0.65, p=0.022; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC2_AUC	AURKA	DPC-000428	ALISERTIB DPC-000428	1.7304161551404105	12.0	-0.6503496503496504	0.0220341909323653
4	BAY-HDAC11_4	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	A	thyroid lines n=10, rho=0.70, p=0.0251; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibitors may suppress IFN signaling; do not claim HLA/APM restoration without perturbation-expression rescue data.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	GDSC1_AUC	HDAC1,HDAC2	DPC-007395	BAY-HDAC11_4 DPC-007395	1.6779824580399398	10.0	0.6969696969696969	0.0250966758822518
5	MYCOPHENOLIC ACID	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	A	thyroid lines n=10, rho=-0.67, p=0.033; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Mycophenolic acid is immunosuppressive; do not present as immune-restoration therapy.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC2_AUC	MYC	DPC-007456	MYCOPHENOLIC ACID DPC-007456	1.6470259540244865	10.0	-0.6727272727272726	0.0330412225454377
6	SELUMETINIB:NAVITOCLAX (8:1 MOL/MOL)	RAI redifferentiation / MAPK-axis modulation	Test RAI redifferentiation and iodide uptake restoration.	A	thyroid lines n=11, rho=0.63, p=0.0388; exploratory small-N	MAPK-axis attenuation is mechanistically linked to thyroid differentiation and RAI redifferentiation hypotheses.	Public screen does not prove NIS induction or iodide uptake restoration.	NIS/SLC5A5, TG/TPO/PAX8 protein/RNA plus iodide uptake after perturbation.	MAPK-axis perturbation class nominated for RAI-restoration testing.	This drug restores RAI sensitivity in patients.	CTRP_AUC	BCL2L1	DPC-005903	SELUMETINIB:NAVITOCLAX (8:1 MOL/MOL) DPC-005903	1.579598952162771	11.0	0.6272727272727273	0.0388452536203533
7	MOMELOTINIB	HLA/APM restoration / immune visibility modulation	Use as JAK/IFN pathway-control hypothesis; do not frame as HLA/APM restoration unless rescue is observed.	A	thyroid lines n=10, rho=0.62, p=0.0537; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibition can oppose IFN-driven HLA/APM induction; treat as pathway-control hypothesis, not restoration therapy.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	CTRP_AUC	JAK1,JAK2	DPC-004334	MOMELOTINIB DPC-004334	1.566523329102092	10.0	0.6242424242424242	0.0537177672171674
8	SELUMETINIB:VORINOSTAT (8:1 MOL/MOL)	RAI redifferentiation / MAPK-axis modulation	Test RAI redifferentiation and iodide uptake restoration.	A	thyroid lines n=10, rho=0.65, p=0.0425; exploratory small-N	MAPK-axis attenuation is mechanistically linked to thyroid differentiation and RAI redifferentiation hypotheses.	Public screen does not prove NIS induction or iodide uptake restoration.	NIS/SLC5A5, TG/TPO/PAX8 protein/RNA plus iodide uptake after perturbation.	MAPK-axis perturbation class nominated for RAI-restoration testing.	This drug restores RAI sensitivity in patients.	CTRP_AUC	HDAC1,HDAC2	DPC-005908	SELUMETINIB:VORINOSTAT (8:1 MOL/MOL) DPC-005908	1.561715305231454	10.0	0.6484848484848483	0.0425401276844894
9	RUXOLITINIB	HLA/APM restoration / immune visibility modulation	Use as JAK/IFN pathway-control hypothesis; do not frame as HLA/APM restoration unless rescue is observed.	A	thyroid lines n=12, rho=0.55, p=0.0647; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibition can oppose IFN-driven HLA/APM induction; treat as pathway-control hypothesis, not restoration therapy.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	GDSC1_AUC	JAK1,JAK2	DPC-005700	RUXOLITINIB DPC-005700	1.4377967312972724	12.0	0.5486526200010714	0.0647142974043995
10	AZACITIDINE	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	A	thyroid lines n=11, rho=-0.53, p=0.0956; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibitors may suppress IFN signaling; do not claim HLA/APM restoration without perturbation-expression rescue data.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	GDSC2_AUC	DNMT1,DNMT3B	DPC-000141	AZACITIDINE DPC-000141	1.36929086360802	11.0	-0.5272727272727273	0.0955652183531542
