control_id	purpose	anchor_task	boundary_state	linked_tasks
external_validation_block	separate prospective external validation from retrospective demo	t11-01	locked	1
figure_caption_pack	attach explicit boundary language to every high-impact figure	t11-02	active	1
reviewer_rebuttal_map	pre-answer objections with file anchors	t11-03	active	1
failure_to_action	use false positives as a queue, not a discarded appendix	t11-04	active	1
claim_boundary_ledger	keep allowed claims and forbidden upgrades side by side	t11-05	locked	1
mini_task_split	split the backlog into granular owner/dependency items	t11-06	active	1
score_by_source	show how the score behaves by source slice	t11-07	active	1
power_risk_slide	freeze the endpoint risk slide	t11-08	locked	1
result_entry_template	standardize the future assay readout entry	t11-09	active	1
control_sequence_list	track positive / negative / provenance controls	t11-10	active	1
