track	task_code	task	group	priority_score	why_it_matters	task_id	status	claim_boundary	dependency
analysis	t11-06	split the 20-task backlog into mini-tasks by owner and dependency	project mgmt	0.95	more granular execution	T11-0AD48FA4	ready	analysis / reviewer-safe	v7-v10 artifacts
reviewer	t11-17	show which claims are allowed now versus locked for later	claim safety	0.94	clean boundary discipline	T11-03357044	ready	reviewer defense / claim-safe	v10 reviewer packet
analysis	t11-03	write a rebuttal matrix for the five most likely reviewer objections	reviewer defense	0.93	pre-answered objections	T11-178AF38A	ready	analysis / reviewer-safe	v7-v10 artifacts
next	t11-27	add a reproducibility checklist for every table in the packet	QA	0.93	lowers reviewer friction	T11-D4E196E5	queued	task backlog only	v7-v10 artifacts
analysis	t11-01	write an external-validation task list for K2/Bundang-style follow-up	external validation	0.92	retrospective to prospective bridge	T11-A913B5AA	ready	analysis / reviewer-safe	v7-v10 artifacts
reviewer	t11-15	add an objection-response table with exact evidence file anchors	reviewer defense	0.92	faster rebuttal	T11-F7A117BC	ready	reviewer defense / claim-safe	v10 reviewer packet
next	t11-30	create a reviewer-facing summary of what is deliberately not claimed	QA	0.92	tightens scope	T11-DDA3836D	queued	task backlog only	v7-v10 artifacts
analysis	t11-02	write a figure-caption expansion pack for the strongest visuals	figures	0.91	editor-ready caption workflow	T11-82C00CEF	ready	analysis / reviewer-safe	v7-v10 artifacts
reviewer	t11-18	separate positive controls from discovery lanes in a visible matrix	reviewer defense	0.91	prevents benchmark confusion	T11-463705D6	ready	reviewer defense / claim-safe	v10 reviewer packet
next	t11-31	create a single-slide narrative of why 91/96 matters and what it does not prove	reviewer defense	0.91	high-impact but bounded	T11-94291DFC	queued	task backlog only	v7-v10 artifacts
analysis	t11-05	add a claim-boundary ledger mapping every allowed claim to a forbidden upgrade	claim safety	0.9	prevents overclaim drift	T11-FF393155	ready	analysis / reviewer-safe	v7-v10 artifacts
execution	t11-11	prepare a per-candidate checklist that maps assay conditions to readouts	lab handoff	0.9	less ambiguity at bench	T11-B4D861B9	ready	execution scaffold / reviewer-safe	v6 execution packet
reviewer	t11-16	build a red-flag registry for leakage, fishing, and claim inflation	reviewer defense	0.9	transparent risk handling	T11-4E375345	ready	reviewer defense / claim-safe	v10 reviewer packet
next	t11-25	prepare a decision-tree for what changes if the next assay is negative	next step	0.9	pre-commit response plan	T11-C6DA9A7B	queued	task backlog only	v7-v10 artifacts
execution	t11-09	create a public-safe result-entry template for future assay readout	lab handoff	0.89	operational cleanliness	T11-DA97013B	ready	execution scaffold / reviewer-safe	v6 execution packet
reviewer	t11-19	map the top 5 false-positive wells to action items	failure registry	0.89	uses misses constructively	T11-CE320A6C	ready	reviewer defense / claim-safe	v10 reviewer packet
next	t11-26	prepare a decision-tree for what changes if the next assay is positive	next step	0.89	unlock path remains visible	T11-9748CB6E	queued	task backlog only	v7-v10 artifacts
analysis	t11-04	build a candidate triage table from the top96 false-positive wells	failure registry	0.88	turn misses into action	T11-BD48DAB7	ready	analysis / reviewer-safe	v7-v10 artifacts
execution	t11-10	create a control-sequence list for positive, negative, and provenance checks	lab handoff	0.88	ordering without redesign	T11-4137B67E	ready	execution scaffold / reviewer-safe	v6 execution packet
next	t11-32	build a ‘do not overcall’ checklist for every future update	QA	0.88	keeps claims honest	T11-EC2E4DE7	queued	task backlog only	v7-v10 artifacts
analysis	t11-08	expand the endpoint plan into a slide with power and risk thresholds	preregistration	0.87	reviewer-friendly stats	T11-C0AFCA0C	ready	analysis / reviewer-safe	v7-v10 artifacts
reviewer	t11-21	make a dense mosaic for a single-screenshot review	visual bundle	0.87	fast scan path	T11-9C983253	ready	reviewer defense / claim-safe	v7-v10 artifacts
execution	t11-12	generate a per-well task map that can be printed for the bench	lab handoff	0.86	well-level traceability	T11-732604FF	ready	execution scaffold / reviewer-safe	v6 execution packet
next	t11-23	prepare a mini-experiment backlog for top three high-priority candidates	next step	0.86	focus on likely wins	T11-86715E7A	queued	task backlog only	v7-v10 artifacts
reviewer	t11-20	draft a one-slide summary that compares v3, v5, v7, v8, v10	summary	0.85	trajectory clarity	T11-3B0A4DDB	ready	reviewer defense / claim-safe	v7-v10 artifacts
analysis	t11-07	expand the known-answer board into a score-by-source breakdown	known-answer	0.84	more informative demo board	T11-249540E2	ready	analysis / reviewer-safe	v7-v10 artifacts
execution	t11-14	produce a standalone figure index that points to every key image	packaging	0.84	fast navigation	T11-4F8A5CD3	ready	execution scaffold / reviewer-safe	v7-v10 artifacts
next	t11-24	prepare a rescue backlog for the false-negative / rescue wells	next step	0.84	convert uncertainty to a queue	T11-FB54C844	queued	task backlog only	v7-v10 artifacts
reviewer	t11-22	add a version timeline from score recovery to reviewer response	visual bundle	0.83	shows momentum	T11-C9D7EE22	ready	reviewer defense / claim-safe	v7-v10 artifacts
execution	t11-13	bundle the execution packet and reviewer packet into one delivery zip	packaging	0.82	single handoff artifact	T11-4A48FFBC	ready	execution scaffold / reviewer-safe	v7-v10 artifacts
next	t11-29	crosswalk the task board to existing v6/v7/v8/v9 assets	QA	0.81	ensures traceability	T11-5BC1ED8E	queued	task backlog only	v7-v10 artifacts
next	t11-28	add a glossary of claim-boundary language used across packets	QA	0.8	prevents inconsistent wording	T11-D57FC140	queued	task backlog only	v7-v10 artifacts
